,city,lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,santa isabel do rio negro,-0.4139,-65.0192,72.37,91,59,2.19,BR,1659855233
1,antofagasta,-23.65,-70.4,54.68,59,0,8.41,CL,1659855233
2,ushuaia,-54.8,-68.3,29.86,86,0,2.3,AR,1659855125
3,inongo,-1.95,18.2667,73.54,69,86,5.77,CD,1659855233
4,rikitea,-23.1203,-134.9692,70.2,67,100,27.18,PF,1659855234
5,hithadhoo,-0.6,73.0833,82.58,71,100,6.93,MV,1659855234
6,bonavista,48.6499,-53.1147,61.95,91,100,13.4,CA,1659855234
7,bluff,-46.6,168.3333,35.8,75,100,21.72,NZ,1659855234
8,talnakh,69.4865,88.3972,62.11,61,28,7.61,RU,1659855235
9,ribeira grande,38.5167,-28.7,72.0,94,75,10.36,PT,1659855235
10,saint-philippe,-21.3585,55.7679,74.79,66,0,6.89,RE,1659855235
11,punta arenas,-53.15,-70.9167,32.11,93,100,2.3,CL,1659855236
12,albany,42.6001,-73.9662,75.72,93,61,2.91,US,1659855008
13,port elizabeth,-33.918,25.5701,59.09,95,100,20.71,ZA,1659855236
14,pevek,69.7008,170.3133,32.34,94,100,19.77,RU,1659855236
15,atuona,-9.8,-139.0333,77.25,72,21,17.9,PF,1659855236
16,broken hill,-31.95,141.4333,58.87,41,31,9.86,AU,1659855087
17,butaritari,3.0707,172.7902,81.93,77,100,12.37,KI,1659855237
18,port alfred,-33.5906,26.891,57.18,96,100,10.0,ZA,1659855237
19,nogales,31.3086,-110.9422,68.72,88,100,12.66,MX,1659855237
20,busselton,-33.65,115.3333,58.33,59,62,8.12,AU,1659855237
21,jamestown,42.097,-79.2353,74.79,74,20,5.75,US,1659854963
22,hermanus,-34.4187,19.2345,56.8,83,0,11.68,ZA,1659855238
23,barabash,43.2,131.4833,78.76,83,100,7.72,RU,1659855238
24,opuwo,-18.0607,13.84,69.1,22,2,4.92,NA,1659855238
25,waingapu,-9.6567,120.2641,81.79,67,8,11.52,ID,1659855238
26,muroto,33.2833,134.15,85.71,71,100,6.51,JP,1659855239
27,tiksi,71.6872,128.8694,42.49,92,100,8.48,RU,1659855239
28,bambous virieux,-20.3428,57.7575,75.45,69,40,12.66,MU,1659855239
29,bahia honda,22.9036,-83.1592,76.89,90,100,8.63,CU,1659855239
30,ponta do sol,32.6667,-17.1,73.0,81,4,5.64,PT,1659855240
31,esil,51.9556,66.4042,80.56,36,40,12.82,KZ,1659855240
32,quelimane,-17.8786,36.8883,64.35,94,40,3.44,MZ,1659855240
33,naze,28.3667,129.4833,86.92,70,33,3.15,JP,1659855238
34,yellowknife,62.456,-114.3525,59.56,100,75,4.61,CA,1659855159
35,cayenne,4.9333,-52.3333,76.08,1,0,2.3,GF,1659855022
36,hasaki,35.7333,140.8333,84.29,81,64,11.61,JP,1659855240
37,meulaboh,4.1363,96.1285,84.78,66,80,6.55,ID,1659855241
38,vaini,-21.2,-175.2,73.56,100,40,4.61,TO,1659855241
39,mahebourg,-20.4081,57.7,75.49,69,40,12.66,MU,1659855241
40,constitucion,-35.3333,-72.4167,51.22,91,100,13.4,CL,1659855242
41,canaries,28.0,-15.5,64.36,78,40,23.02,ES,1659855242
42,sitka,57.0531,-135.33,57.09,88,100,11.5,US,1659855242
43,chokurdakh,70.6333,147.9167,55.81,40,100,13.71,RU,1659855244
44,taksimo,56.3444,114.8794,65.12,42,52,5.59,RU,1659855244
45,mataura,-46.1927,168.8643,35.47,97,100,6.76,NZ,1659855244
46,bahia blanca,-38.7196,-62.2724,44.35,81,100,6.08,AR,1659855245
47,knevichi,43.3992,132.1803,78.82,83,75,11.18,RU,1659855245
48,rudsar,37.1376,50.288,85.98,60,28,11.16,IR,1659855245
49,miri,4.4148,114.0089,86.14,79,40,6.91,MY,1659855246
50,aklavik,68.2191,-135.0107,45.84,80,100,11.74,CA,1659855246
51,puerto ayora,-0.7393,-90.3518,69.55,93,97,5.99,EC,1659855246
52,isangel,-19.55,169.2667,82.51,78,40,4.61,VU,1659855246
53,kapaa,22.0752,-159.319,77.11,87,100,5.95,US,1659855247
54,luderitz,-26.6481,15.1594,57.99,79,100,9.55,NA,1659855247
55,amazar,53.858,120.875,55.17,97,100,1.86,RU,1659855247
56,brae,60.3964,-1.353,54.93,90,98,12.73,GB,1659855248
57,la ronge,55.1001,-105.2842,61.05,63,20,6.91,CA,1659855248
58,arraial do cabo,-22.9661,-42.0278,69.12,84,100,18.25,BR,1659855248
59,corumba,-19.0092,-57.6533,72.97,55,100,3.09,BR,1659855248
60,chiplun,17.5333,73.5167,78.04,97,100,3.98,IN,1659855249
61,itaunja,27.0833,80.9167,89.58,64,100,8.57,IN,1659855249
62,cape town,-33.9258,18.4232,60.39,77,0,3.44,ZA,1659855011
63,pirgos,35.1167,25.7178,83.62,52,0,7.99,GR,1659855249
64,ilulissat,69.2167,-51.1,35.78,97,62,2.1,GL,1659855250
65,warwick,41.7001,-71.4162,78.26,85,0,9.22,US,1659855020
66,portland,45.5234,-122.6762,75.54,57,0,6.91,US,1659855019
67,mount gambier,-37.8333,140.7667,50.13,65,7,5.01,AU,1659855250
68,kalmunai,7.4167,81.8167,91.18,42,88,6.06,LK,1659855250
69,klaksvik,62.2266,-6.589,52.72,89,82,8.08,FO,1659855250
70,cidreira,-30.1811,-50.2056,55.38,94,100,10.83,BR,1659855251
71,nanortalik,60.1432,-45.2371,42.6,92,80,15.08,GL,1659855251
72,margate,51.3813,1.3862,64.11,86,39,1.21,GB,1659855022
73,kismayo,-0.3582,42.5454,78.62,65,95,20.18,SO,1659855251
74,chernyshevskiy,63.0128,112.4714,51.94,87,100,2.95,RU,1659855252
75,groa,62.65,8.7167,56.89,60,13,3.18,NO,1659855252
76,kemin,42.7846,75.6892,85.17,28,4,6.17,KG,1659855252
77,licata,37.1071,13.9461,83.23,40,0,4.45,IT,1659855252
78,palana,59.1167,159.9667,53.91,71,11,10.51,RU,1659855253
79,avarua,-21.2078,-159.775,69.85,88,75,20.71,CK,1659855253
80,chuy,-33.6971,-53.4616,47.01,87,73,8.32,UY,1659855253
81,butembo,0.15,29.2833,71.56,54,59,0.65,CD,1659855253
82,iaciara,-14.0958,-46.6317,68.97,39,54,2.84,BR,1659855254
83,srednekolymsk,67.45,153.6833,59.36,42,100,11.61,RU,1659855254
84,necochea,-38.5473,-58.7368,43.32,75,95,6.26,AR,1659855254
85,new norfolk,-42.7826,147.0587,47.91,67,100,2.68,AU,1659855254
86,nouadhibou,20.931,-17.0347,73.38,88,75,11.5,MR,1659855255
87,praia da vitoria,38.7333,-27.0667,71.76,94,75,15.3,PT,1659855255
88,longyearbyen,78.2186,15.6401,48.04,93,75,8.05,SJ,1659855255
89,castro,-24.7911,-50.0119,53.69,98,100,3.53,BR,1659855255
90,walvis bay,-22.9575,14.5053,54.55,94,85,2.3,NA,1659855256
91,hami,42.8,93.45,99.46,11,54,9.89,CN,1659855256
92,oyotun,-6.8519,-79.3036,66.92,82,70,3.24,PE,1659855256
93,georgetown,5.4112,100.3354,88.9,81,20,9.22,MY,1659855013
94,manggar,-2.8833,108.2667,84.22,65,5,11.34,ID,1659855257
95,dzilam gonzalez,21.2833,-88.9333,73.53,97,87,3.27,MX,1659855257
96,hobart,-42.8794,147.3294,48.25,80,40,6.91,AU,1659855008
97,kodiak,57.79,-152.4072,51.17,81,0,4.12,US,1659855257
98,avera,33.194,-82.5271,73.54,87,73,2.59,US,1659855258
99,juventino rosas,20.65,-101.0,62.76,91,100,5.7,MX,1659855258
100,sinnamary,5.3833,-52.95,75.42,88,66,7.54,GF,1659855258
101,urumqi,43.801,87.6005,86.95,27,0,6.71,CN,1659855258
102,nikolskoye,59.7035,30.7861,66.87,60,0,8.34,RU,1659855259
103,jamame,0.0722,42.7506,81.28,56,75,18.16,SO,1659855259
104,touros,-5.1989,-35.4608,73.0,90,55,9.89,BR,1659855193
105,ambunti,-4.2365,142.8448,81.37,82,100,3.36,PG,1659855259
106,tuktoyaktuk,69.4541,-133.0374,42.66,88,100,19.42,CA,1659855259
107,okhotsk,59.3833,143.3,58.95,79,94,12.84,RU,1659855260
108,mar del plata,-38.0023,-57.5575,44.94,76,100,1.01,AR,1659855249
109,saskylakh,71.9167,114.0833,54.72,62,100,7.18,RU,1659855260
110,bredasdorp,-34.5322,20.0403,57.15,85,22,12.75,ZA,1659855260
111,amarante,-6.2411,-42.8547,66.72,51,29,1.45,BR,1659855261
112,esmeraldas,-19.7625,-44.3139,65.26,83,94,5.39,BR,1659855261
113,qaanaaq,77.484,-69.3632,35.38,67,0,5.28,GL,1659855261
114,chardara,41.2547,67.9692,90.9,23,66,7.23,KZ,1659855261
115,yuxia,34.0615,108.6291,101.01,38,35,5.26,CN,1659855262
116,joshimath,30.5667,79.5667,71.71,96,100,3.56,IN,1659855262
117,sabang,5.8933,95.3214,82.29,79,26,24.61,ID,1659855262
118,soyo,-6.1349,12.3689,68.86,79,6,6.26,AO,1659855263
119,sao filipe,14.8961,-24.4956,78.46,84,60,3.53,CV,1659855263
120,lompoc,34.6391,-120.4579,60.94,88,0,18.99,US,1659855263
121,shizunai,42.3339,142.3669,71.6,85,27,12.21,JP,1659855263
122,dikson,73.5069,80.5464,41.92,93,100,12.66,RU,1659855264
123,anadyr,64.75,177.4833,57.7,93,40,8.95,RU,1659855264
124,bogolyubovo,56.1956,40.5297,81.63,45,15,8.25,RU,1659855264
125,sangin,32.0728,64.8359,100.65,8,3,7.47,AF,1659855264
126,samarai,-10.6167,150.6667,80.53,81,11,13.29,PG,1659855265
127,voyinka,45.8699,33.9914,88.65,35,2,14.56,UA,1659855265
128,marrakesh,31.6315,-8.0083,68.07,77,0,6.91,MA,1659855265
129,mitsamiouli,-11.3847,43.2844,76.93,62,4,9.33,KM,1659855265
130,norman wells,65.282,-126.8329,55.44,67,75,4.61,CA,1659855266
131,kilindoni,-7.9139,39.6668,76.87,67,73,14.2,TZ,1659855266
132,berlevag,70.8578,29.0864,50.0,93,75,14.97,NO,1659855266
133,hongjiang,27.11,109.9956,97.88,41,95,5.46,CN,1659855266
134,mareeba,-17.0,145.4333,77.43,78,93,7.65,AU,1659855267
135,fortuna,40.5982,-124.1573,62.92,90,100,4.61,US,1659855267
136,ponta delgada,37.7333,-25.6667,72.32,88,20,5.75,PT,1659855267
137,bethel,41.3712,-73.414,78.76,92,24,4.94,US,1659855268
138,temiscaming,46.7212,-79.0971,72.95,88,100,2.3,CA,1659855268
139,tara,56.8944,74.371,74.55,53,2,8.25,RU,1659855268
140,yulara,-25.2406,130.9889,67.89,20,0,8.14,AU,1659855268
141,hilo,19.7297,-155.09,75.25,96,59,1.01,US,1659855259
142,alofi,-19.0595,-169.9187,73.29,78,100,5.75,NU,1659855269
143,arman,59.7,150.1667,68.02,75,2,5.97,RU,1659855269
144,ancud,-41.8697,-73.8203,41.23,82,100,7.23,CL,1659855270
145,nioro,13.35,-15.75,75.18,97,97,2.75,GM,1659855270
146,najran,17.4924,44.1277,86.65,36,100,6.42,SA,1659855270
147,yendi,9.4427,-0.0099,73.62,77,8,3.33,GH,1659855270
148,almeirim,-1.5233,-52.5817,72.48,91,11,4.88,BR,1659855192
149,cabo san lucas,22.8909,-109.9124,84.51,81,20,5.55,MX,1659855271
150,road town,18.4167,-64.6167,82.11,81,14,24.0,VG,1659855271
151,bathsheba,13.2167,-59.5167,80.06,96,75,13.8,BB,1659855271
152,ottawa,45.4112,-75.6981,76.57,84,0,8.05,CA,1659855505
153,mehamn,71.0357,27.8492,49.95,93,100,13.8,NO,1659855272
154,malinovoye ozero,51.6753,79.7825,84.65,23,9,7.72,RU,1659855272
155,nsoko,-27.0333,31.95,71.28,72,100,4.76,SZ,1659855272
156,codrington,-38.2667,141.9667,50.4,67,11,5.84,AU,1659855273
157,zapolyarnyy,69.4154,30.8136,51.08,71,14,10.89,RU,1659855273
158,dingle,10.9995,122.6711,79.09,86,100,2.01,PH,1659855273
159,calama,-22.4667,-68.9333,43.14,27,0,7.92,CL,1659855273
160,pilar,-9.5972,-35.9567,71.53,96,60,1.45,BR,1659855274
161,shakhtinsk,49.71,72.5872,80.74,23,11,7.92,KZ,1659855274
162,half moon bay,37.4636,-122.4286,64.9,83,0,9.22,US,1659855101
163,namibe,-15.1961,12.1522,63.66,80,7,7.67,AO,1659855274
164,carnarvon,-24.8667,113.6333,69.08,49,0,15.14,AU,1659855274
165,saldanha,-33.0117,17.9442,44.65,91,16,22.41,ZA,1659855275
166,biloxi,30.396,-88.8853,78.84,89,0,0.0,US,1659855275
167,laguna,38.421,-121.4238,72.18,72,0,8.05,US,1659855275
168,trincomalee,8.5711,81.2335,89.4,53,100,21.03,LK,1659855275
169,barrow,71.2906,-156.7887,38.66,81,100,5.64,US,1659855276
170,nishihara,26.1842,127.7558,89.65,66,40,11.5,JP,1659855276
171,faanui,-16.4833,-151.75,77.76,74,100,23.11,PF,1659855276
172,berdigestyakh,62.0989,126.6992,50.58,96,100,14.14,RU,1659855277
173,keti bandar,24.1447,67.4497,86.74,75,100,12.19,PK,1659855277
174,umm kaddadah,13.6017,26.6876,77.61,62,99,10.98,SD,1659855277
175,lavrentiya,65.5833,-171.0,47.26,85,94,8.9,RU,1659855277
176,severo-kurilsk,50.6789,156.125,56.19,84,99,6.08,RU,1659855278
177,saint-augustin,51.226,-58.6502,62.73,77,100,16.28,CA,1659855278
178,kenai,60.5544,-151.2583,60.89,79,75,8.05,US,1659855278
179,seoul,37.5683,126.9778,89.2,72,75,14.97,KR,1659855003
180,grindavik,63.8424,-22.4338,51.75,93,100,19.57,IS,1659855278
181,fallon,39.4735,-118.7774,75.07,38,0,6.91,US,1659855279
182,kristiansund,63.1115,7.732,54.25,76,100,5.75,NO,1659855279
183,nuuk,64.1835,-51.7216,39.65,92,100,7.07,GL,1659855279
184,cooma,-36.2333,149.1333,41.23,84,61,4.54,AU,1659855279
185,lebu,-37.6167,-73.65,48.54,91,95,1.77,CL,1659855280
186,linhai,28.85,121.1167,97.93,32,9,10.98,CN,1659855280
187,tanhacu,-14.0214,-41.2481,67.21,77,99,4.16,BR,1659855280
188,beipiao,41.7919,120.7792,86.67,64,10,2.77,CN,1659855281
189,maumere,-8.6199,122.2111,82.67,69,19,6.31,ID,1659855281
190,thompson,55.7435,-97.8558,57.36,88,75,4.61,CA,1659855281
191,xihua,33.7833,114.5167,97.09,50,100,14.18,CN,1659855281
192,sebeta,8.9167,38.6167,62.64,74,78,8.01,ET,1659855282
193,pisco,-13.7,-76.2167,59.02,88,75,4.61,PE,1659855282
194,bada,51.392,109.8717,60.98,51,83,11.83,RU,1659855282
195,verkhoyansk,67.5447,133.385,64.45,73,92,5.14,RU,1659855282
196,turbat,26.0023,63.044,93.4,49,99,6.35,PK,1659855283
197,santa fe,-31.6333,-60.7,48.0,93,5,4.0,AR,1659855283
198,wilmington,34.2257,-77.9447,75.94,84,0,3.44,US,1659854990
199,geraldton,-28.7667,114.6,64.81,72,75,12.66,AU,1659855283
200,champerico,14.3,-91.9167,74.62,95,100,10.96,GT,1659855284
201,oktyabrskiy,54.4815,53.471,79.81,47,23,6.93,RU,1659855284
202,upernavik,72.7868,-56.1549,38.95,87,42,14.14,GL,1659855284
203,aleksandrov gay,50.147,48.5704,90.14,19,6,14.94,RU,1659855284
204,namatanai,-3.6667,152.4333,81.93,76,100,7.83,PG,1659855285
205,lata,40.1629,-8.3327,65.3,79,0,1.61,PT,1659855285
206,saint george,37.1041,-113.5841,87.64,33,0,7.0,US,1659855124
207,byron bay,-28.65,153.6167,64.71,51,91,1.66,AU,1659855285
208,fairbanks,64.8378,-147.7164,53.6,91,20,10.36,US,1659855002
209,kaitangata,-46.2817,169.8464,38.98,76,100,9.15,NZ,1659855286
210,maiduguri,11.8464,13.1603,79.77,70,100,13.53,NG,1659855286
211,altay,47.8667,88.1167,86.23,19,21,14.47,CN,1659855286
212,te anau,-45.4167,167.7167,31.53,95,54,6.69,NZ,1659855286
213,garmsar,35.2182,52.3409,97.61,14,0,12.88,IR,1659855287
214,tetelzingo,19.0667,-97.15,48.65,97,77,2.51,MX,1659855287
215,puksoozero,62.5903,40.6066,62.71,94,100,8.5,RU,1659855287
216,akyab,20.15,92.9,85.44,74,73,14.79,MM,1659855288
217,hambantota,6.1241,81.1185,88.14,70,75,20.71,LK,1659855288
218,sorong,-0.8833,131.25,82.54,78,77,7.43,ID,1659855288
219,nouakchott,18.0858,-15.9785,80.53,86,16,13.89,MR,1659855288
220,kentau,43.5206,68.5094,86.67,22,100,8.37,KZ,1659855289
221,gamba,-2.65,10.0,70.16,81,91,6.67,GA,1659855289
222,pangnirtung,66.1451,-65.7125,42.84,91,100,2.46,CA,1659855289
223,caranavi,-15.8167,-67.55,58.86,99,98,1.59,BO,1659855289
224,diffa,13.3154,12.6113,84.0,58,100,13.91,NE,1659855290
225,torbay,47.6666,-52.7314,63.75,93,20,10.36,CA,1659855290
226,iqaluit,63.7506,-68.5145,40.73,93,75,12.66,CA,1659855290
227,omboue,-1.5746,9.2618,72.05,78,100,6.2,GA,1659855290
228,iwanai,42.9744,140.5089,80.74,67,54,7.09,JP,1659855291
229,dongzhen,22.3797,110.9389,91.08,61,74,4.36,CN,1659855291
230,marechal deodoro,-9.7103,-35.895,72.81,92,60,5.57,BR,1659855291
231,ketchikan,55.3422,-131.6461,61.27,94,100,9.22,US,1659855291
232,oistins,13.0667,-59.5333,79.52,94,75,13.8,BB,1659855282
233,diamantina,-18.2494,-43.6003,51.98,96,4,4.36,BR,1659855071
234,loreto,22.2667,-101.9667,59.2,82,100,13.94,MX,1659855292
235,la chapelle-sur-erdre,47.2958,-1.5531,64.26,60,0,8.05,FR,1659855292
236,prince rupert,54.3161,-130.3201,62.69,87,100,13.8,CA,1659855121
237,harper,4.375,-7.7169,72.86,76,44,4.99,LR,1659855292
238,adrar,20.5022,-10.0711,90.72,30,4,6.49,MR,1659855293
239,locri,38.2414,16.2623,82.31,59,0,9.28,IT,1659855293
240,garissa,-0.4536,39.6401,79.61,51,100,24.11,KE,1659855258
241,pedley,33.9753,-117.4759,87.01,43,0,4.61,US,1659855293
242,khatanga,71.9667,102.5,61.63,57,100,17.45,RU,1659855294
243,port pirie,-33.1833,138.0167,56.01,61,1,7.02,AU,1659855294
244,puerto escondido,15.85,-97.0667,78.06,88,98,4.16,MX,1659855294
245,xuddur,4.1213,43.8894,80.22,41,60,23.64,SO,1659855294
246,bengkulu,-3.8004,102.2655,83.84,64,1,7.76,ID,1659855295
247,airai,-8.9266,125.4092,72.91,50,21,4.68,TL,1659855295
248,victoria,22.2855,114.1577,93.96,71,59,11.01,HK,1659855096
249,maarianhamina,60.0973,19.9348,62.46,63,0,3.44,AX,1659855295
250,butka,56.7179,63.7866,79.23,50,100,9.06,RU,1659855296
251,ambovombe,-25.1667,46.0833,72.64,56,0,2.15,MG,1659855296
252,puerto leguizamo,-0.1934,-74.7819,71.02,93,98,2.01,CO,1659855296
253,maningrida,-12.0667,134.2667,86.27,53,1,14.14,AU,1659855296
